TX_DATA_0,TX_DATA_1,TX_DATA_2,TX_DATA_3,TX_DATA_4,TX_DATA_5,TX_DATA_6,TX_DATA_7,TX_DATA_8,TX_DATA_9,TX_DATA_10,TX_DATA_11
a046830a,a082c91a,a0e00414,a282c605,a0238812,a6a0838d,a2a44603,a108850f,a0668815,a488c102,a004101c,a3414147
a2000a12,a103c0ad,a1a34117,a1424989,a06982d8,a243ce02,a0e3c099,a0214315,a1668304,a401070a,a1e04589,a8048205
a0a6460c,a2c0418e,a6e29303,a1a44608,a120560e,a0845900,a0211187,a1459200,a062c386,a1c28504,a0c58a1e,a2a29009
a3a3410b,a8e28aa4,a0a4018a,a280ce83,a01fc581,a9200004,a3430700,a0018000,a0e08703,a0040321,a4844498,a001c484
a0824401,a463d713,a0828697,a1a30191,a060c88a,a0234019,a860048e,a2608980,a0e00304,a1430707,a060e981,a1232082
a0a00607,a0505082,a181c4b4,a040041a,a023ce06,a3014d08,a24442ab,a0274006,a00104a0,a0a0c002,a4658202,a0210008
a1424723,a0258403,a3ab4504,a5204886,a2c20594,a540cb82,a056050b,a2a4d086,a0478681,a0a74111,a8200806,a0074182
a1408283,a20a4002,a2604386,a0258051,a4844c15,a1040201,a3a1c9a9,ab62c2af,a0638404,a1448404,a2e01e8e,a0000798
a0844605,a080cb0c,a6a64aa3,a022078a,a0800196,a0624003,a6c00d87,a3234285,a2608c05,a48ac990,a001c023,a1c1438b
a1e15685,a0814207,a1018124,a184010b,a0a68306,a10101df,a0e38027,a4c19900,a3c05684,a0240007,a3c0c08d,a3018717
a0aa0110,a2600319,a125939d,a228c00f,a1618381,a0610e01,a1860615,a140838d,a04a4404,a2839311,a30a8003,a2654198
a1e3088e,a006428e,a2a20410,a0858504,a0424c8c,a0a78484,a1208080,a062a338,a1414b11,a003058e,a060c40d,a0c10480
a200c08e,a1200086,a1604581,a6a28504,a2810305,a320448f,a081190d,a1e6020b,a220c08e,a3200d80,a484c207,a2a40203
a3800e86,a5a0860f,a401c187,a56bc009,a7628181,a1c1480e,a208450f,a2800e1a,a0431003,a1804388,a26e018c,a0864988
a0628d8d,a0048009,a0c18e07,a02004a4,a2854b89,a0454317,a460c591,a023cd0c,a0e08017,a3260383,a1620d8a,a00240a5
a1a04213,a0820e02,a580c086,a0064081,a0cc0305,a0c58906,a000009f,a3024e03,a2e60385,a5838208,a3438281,a4a2038f
a541c402,a0048a02,a0a2818b,a2a01181,a0008592,a1499000,a3231583,a081c901,a2c1c298,a0005520,a2c0c39a,a14c0909
a041460f,a1834408,a4e0c084,a2424401,a1029e81,a0420785,a0408913,a2030988,a041c606,a065888c,a183058b,a0e3ca8b
a2a04281,a0098282,a0e0c284,a12b4d86,a0808202,a0024115,a2228401,a2a28f83,a023838b,a026dd81,a0248981,a223400f
a642d081,a0a54e8e,a3494215,a2274282,a282439a,a0630b83,a0068204,a0418b91,a181450d,a0a04086,a08c8500,a1804907
a0030000,a020ca03,a1a1dd18,a0040246,a4429a8c,a0e0010c,a040488a,a1cb8194,a101c60c,a2e0c108,a2a0cb17,a22b070a
a045400e,a3878e9f,a0a20400,a6a08b02,a0a3431c,a2c90183,a0c18032,a0c10803,a0a00780,a0834180,a3c08007,a280430a
a1a18e82,a1441f10,a2460700,a02dc138,a5430100,a0654402,a0a54481,a16705ab,a2e20b97,a001411f,a360c501,a5e0940c
a5a08809,a0a04d94,a381c883,a0408293,a0aac50b,a4cb0803,a145811e,a3440285,a4cd0500,a4410007,a3c8478f,a0200e12
a0228005,a1a0c101,a0010282,a6838200,a0a1c19b,a1a3cb24,a0cb8497,a546c306,a361c10a,a042880a,a024131d,a0c2c105
a1438795,a0a2c789,a1054386,a0e40233,a2830015,a4c24506,a1a0c282,a0024681,a6e48184,a0260003,a0e24a8c,a020508c
a0210281,a586209c,a0288580,a202890a,a2605d57,a0428004,a007440b,a187c58b,a1614289,a381939e,a1e305a6,a2460300
a2a1c891,a3a14626,a1050792,a106c38e,a1e0438f,a0a1cab1,a1a24688,a280cc1c,a204d115,a2c2038c,a222838b,a903018b
a0c00082,a329838c,a0009890,a4e1c104,a0608483,a03fc183,a264c106,a0c34a11,a0478088,a5400b90,a025ccb8,a1099406
